keyword,n,GLM-4-Plus_chrF,GLM-4-Plus_COMET,DeepSeek-V4-Flash_chrF,DeepSeek-V4-Flash_COMET
啥子,44,40.29,70.71,41.7,71.4
安逸,42,34.02,68.34,36.59,69.08
确实,36,46.21,75.63,44.85,74.93
巴适,20,41.26,72.11,43.2,74.45
哦(语气词),20,38.64,72.48,41.39,72.18
嘛(语气词),19,40.76,71.18,42.89,71.45
哈(语气词),19,40.86,72.34,42.79,73.22
老子,18,34.36,66.78,37.53,66.72
硬是,12,37.1,70.49,39.05,71.38
咋个,11,46.16,71.98,51.49,75.26
老表,8,38.12,67.69,40.56,67.02
婆娘,7,37.88,68.84,38.75,67.87
噻,6,37.6,69.62,35.66,68.12
瓜娃子,5,46.14,76.94,41.89,69.82
老汉,5,47.25,73.86,51.1,75.41
恼火,4,39.53,77.33,41.6,74.57
幺(称谓/方言),4,38.06,63.68,44.18,64.55
嘎嘎,2,30.42,67.32,27.23,61.6
龟儿子,2,37.98,59.54,33.88,57.83
老太婆,1,52.97,74.93,41.77,65.48
得嘛,1,51.01,67.54,64.73,77.13
扯把子,1,33.2,56.62,22.63,54.67
片片,1,25.46,59.35,24.32,52.0
背时,1,38.74,67.84,39.49,62.3
莫得,1,14.23,41.99,36.44,49.1
贼娃子,1,29.94,78.09,37.7,72.97
霸道,1,40.27,62.49,47.91,64.82
